Ex1 Ex2 Ex3 Ex4x Ex4y Ex5 Ex6x1 Ex6x2
2 6 3 0.821588491089642 0.251291385386139 -7.03602685551136 0.470206741566626 0.446767947696181
1 10 7 0.0335704816970974 0.679818402277306 -6.7195565114769 0.742731278136378 0.404230455980944
1 3 7 0.825944236246869 0.937156774569303 -6.4275908784053 0.471659561548307 0.29718722245109
2 7 7 0.0596848730929196 0.930208098609 -8.64925464627099 0.747046907665203 0.342447921423242
1 10 6 0.464266335126013 0.993738653603941 -8.0468081468227 0.804841826686075 0.661558062342896
1 8 7 0.843571527628228 0.812552078161389 -6.81487354271309 0.61354997488904 0.316705987500172
7 8 0 0.854119548108429 0.30722518847324 -7.13966039069999 0.583931635617676 0.398305021429605
1 10 2 0.0622262647375464 0.775271265069023 -7.97734150970179 0.310647160595479 0.33752823063215
2 8 8 0.992629892192781 0.770288508851081 -7.09828751032428 0.374222411820388 0.454177105484002
1 10 0 0.595518009969965 0.570927582448348 -7.2813932687863 0.272130857235864 0.895531193114476
1 10 0 0.953383137006313 0.699204605072737 -7.82404269728048 0.293348085141881 0.574505132745514
9 8 7 0.0274016705807298 0.843414538307115 -9.13525152596729 0.263078971640104 0.461163089388188
7 5 4 0.859567342791706 0.0755808157846332 -6.560984430674 0.509207465766386 0.337585969133976
1 8 7 0.941569565562531 0.517693420639262 -6.75312807155966 0.232888973361656 0.899602711126114
1 4 7 0.937756409170106 0.676849417388439 -6.21041968244231 0.486875068151919 0.524615496368435
1 10 0 0.224718171870336 0.928475028602406 -6.17418338061517 0.145323837310671 0.387599555830524
5 9 4 0.540222440147772 0.883614964550361 -6.20130864286047 0.344509427274773 0.694720068233738
1 9 0 0.843557899817824 0.766468587331474 -8.57100819595862 0.577217986576902 0.518059343006199
2 7 6 0.754486871650442 0.858025323366746 -6.9838381340918 0.460284619101037 0.84636061376485
3 9 7 0.783926420146599 0.601154207251966 -7.40276531226194 0.553765648836719 0.403048402128486
1 2 0 0.881324452115223 0.316758123924956 -6.30719149600711 0.6022832163453 0.163523439791131
1 7 7 0.655979465693235 0.667942638974637 -6.65192278375614 0.72321455860545 0.496201620577632
5 7 2 0.893641463248059 0.463083349633962 -7.47433463493295 0.262009602291117 0.216626008786282
2 4 1 0.911819589091465 0.934156116098166 -7.13962512870874 0.442323980732644 0.162415098206707
8 6 7 0.912181536434218 0.371609653579071 -7.24634367849587 0.505591297663654 0.375215004420788
4 7 7 0.613390916027129 0.833003517240286 -7.88109975539138 0.367485445425362 0.397037557531748
1 10 1 0.814999823458493 0.207077387953177 -7.15817158525732 0.628541595974863 0.304656595539004
1 9 7 0.600550436647609 0.287827150896192 -7.48042697096739 0.403954655850739 0.504598488136857
2 7 2 0.877504682401195 0.882436843588948 -7.8367704644833 0.387112767215237 0.60932826733127
2 10 2 0.454536054749042 0.763544540619478 -7.4386297976462 0.302999139119875 0.614569093400042
1 0 2 0.0921717491000891 0.864356317324564 -6.05251034584822 0.135222359308017 0.840195496138396
2 1 1 0.278563187457621 0.83827392407693 -7.77935455408224 0.565260537080391 0.188539946710019
1 6 2 0.840077156899497 0.538342747138813 -5.98873151479812 0.0255358970938317 0.67534557581366
2 5 1 0.960597235010937 0.207648755516857 -6.70249583912748 0.112095385238169 0.605859565395735
2 3 2 0.618056796956807 0.728710758732632 -7.45599508313296 0.455677813419849 0.593164891077417
2 8 8 0.523557498585433 0.288929397473112 -6.87549923278577 0.28533884379444 0.639127001515915
2 10 3 0.380541519494727 0.811275740619749 -7.54398841977629 0.801205088919209 0.175855963461256
3 0 5 0.53289648424834 0.567776841577142 -7.57372915653785 0.599962474190506 0.46272652164856
1 7 2 0.91504079173319 0.903035084251314 -8.21313777181806 0.700433415944704 0.701849103333588
3 0 2 0.860315433703363 0.792050171177834 -8.13876437910007 0.95073482659998 0.869722651869244
1 10 2 0.88545325002633 0.298501028446481 5.50462659332468 0.241319704552662 0.206592952596339
1 0 6 0.944089809432626 0.49130529537797 6.97426085419553 0.322091947160382 0.738693119900032
2 5 8 0.48417828627862 0.610955562908202 7.3460662114767 0.259363328080922 0.44386432813791
1 8 0 0.793777968734503 0.180293485987931 7.64545235917011 0.367246946389958 0.294389899473431
2 6 3 0.956901154713705 0.348608330124989 7.22162520951058 0.0601339209280604 0.373578406932788
1 4 0 0.627090068766847 0.454801186686382 6.90087784239289 0.40424065380715 0.422393913389923
1 8 4 0.769172971602529 0.661293104058132 7.68500225763368 0.774461538991521 0.546389829469694
1 8 2 0.974191261455417 0.441038027405739 8.17138608192418 0.290796198799827 0.867911822987833
2 6 4 0.892086600419134 0.794041922781616 8.11372449618431 0.699404012246309 0.557673641827013
1 9 2 0.823699382832274 0.442982619861141 6.99248906446709 0.163425689405726 0.486628297305633
5 8 4 0.969022427452728 0.984430244425312 7.80279773829833 0.531379539806472 0.737410072514143
1 5 7 0.992367917438969 0.827563162660226 8.04390680789872 0.504849713351791 0.343184104531787
1 5 3 0.0517877836246043 0.95366472331807 7.72884605714041 0.213476041386104 0.769692415363381
5 0 6 0.472041392698884 0.913337290054187 8.50118201588559 0.640796264606505 0.228159296855338
1 5 7 0.758052309276536 0.730090415338054 5.74460484773743 0.856942582302334 0.287199015419981
1 4 1 0.305077687371522 0.861546927830204 8.93510043584397 0.177486674990041 0.415161307920793
1 9 2 0.568028985988349 0.648834835737944 7.78870845165045 0.451483715707657 0.503905972566057
1 8 7 0.840161593398079 0.0486756968311965 8.67152109886668 0.807054323209958 0.404977466722076
1 8 7 0.767919186735526 0.829958996502683 4.69348166827003 0.658437045240836 0.50297106022432
1 7 4 0.885964712360874 0.189415279543027 8.01905352954536 0.81851922692076 0.544762895733049
1 10 7 0.591818610439077 0.562689201906323 7.32784191421204 0.61946117750636 0.830005564310201
1 8 3 0.621529870899394 0.858209387399256 6.93760362969715 0.730004585191078 0.266118900614352
1 3 5 0.323314049746841 0.919215928064659 6.98364454205868 0.497258489606594 0.839964797640432
5 9 2 0.48509590793401 0.886471791891381 8.26648371756681 0.752943242179322 0.472766463610328
1 5 5 0.478383896639571 0.708806053036824 6.79405383421613 0.873470090152369 0.578975872918108
1 0 8 0.987818197580054 0.460417187772691 8.09349349488162 0.684268794369492 0.386368428022362
1 10 7 0.547934886766598 0.0563727647531778 8.21497068682963 0.697755068674302 0.205470223431246
1 8 7 0.953658793354407 0.606316417688504 7.77848247794407 0.656043157416179 0.184685493771331
2 0 2 0.608985648257658 0.509931938257068 9.82655808377222 0.577558523470895 0.24534065315831
1 10 2 0.919347544433549 0.526915387948975 9.68642416596828 0.58183633098132 0.681698315591297
3 7 1 0.54836501297541 0.799383184639737 7.93571467529176 0.213019427319314 0.817277522012084
2 0 5 0.691997206769884 0.959373640595004 7.42647288378728 0.559732779798192 0.468096428251386
1 7 0 0.759558860445395 0.4486853426788 8.19549687081506 0.441062548591088 0.626095518950736
2 8 5 0.891056026564911 0.451261444948614 7.69541244719742 0.468496660818995 0.599684372676559
1 6 8 0.14632070553489 0.967870384221897 6.77955865803925 0.907913542551101 0.588154890335947
1 0 7 0.264791854191571 0.801225084811449 8.47732304062106 0.269686342725988 0.339120461834268
1 7 4 0.761697036679834 0.872970477910712 7.85163898121685 0.600256930508268 0.936964712873655
2 4 7 0.877356417709962 0.925487998174503 7.96018630318571 0.386056538384699 0.349805783884027
1 9 5 0.584846534999087 0.873651828616858 6.86615387749631 0.893504460346636 0.534896233442285
1 10 2 0.897254421142861 0.826056930236518 7.48352415235721 0.735420917814841 0.901814890554075
1 0 6 0.747901381459087 0.604415387613699 -3.08814921889617 0.335302490963478 0.339005458912201
2 9 0 0.233981329249218 0.877540940884501 -4.03569635997885 0.0610640897465954 0.615286759198278
1 0 7 0.799311015289277 0.759700137656182 -2.81938555844445 0.324010705121429 0.659327237575633
1 6 4 0.717940230621025 0.996793854050338 -3.33984595420183 0.470129761751678 0.125741965375831
1 0 7 0.715983565896749 0.521806214470416 -4.06760733437638 0.550361793876055 0.22936536445141
1 0 7 0.267234566854313 0.587403476703912 -3.40958290491266 0.871708377342567 0.441102914295245
1 9 4 0.990798053331673 0.951639658771455 -3.19434794442057 0.476686576714472 0.37531111531205
2 7 2 0.866264515090734 0.0334065076895058 -3.90641192195545 0.27137353512086 0.491626746607781
3 1 7 0.980735310353339 0.820737855974585 -3.75180643227669 0.194313069005639 0.528484963425961
1 9 7 0.955949289025739 0.736957470886409 -4.0630147678231 0.818553308482686 0.463927423161152
2 6 1 0.865323354955763 0.507344932993874 -3.53696770448768 0.548766402399062 0.634351882013039
2 5 2 0.697052118368447 0.279731090413406 -4.52654954717894 0.144845554109741 0.206743730935889
2 0 3 0.890786547912285 0.951946427579969 -4.20398755468801 0.517122796932622 0.727458851878561
1 9 6 0.81489416747354 0.54817721969448 -4.23442393968201 0.387246223147748 0.574796156571263
1 9 7 0.196391359204426 0.825106045696884 -3.29823818340868 0.474300379777598 0.539966045077376
1 8 2 0.913675323361531 0.054528727196157 -5.034414154719 0.947022546551874 0.688540124793686
1 8 7 0.408897108165547 0.820406213635579 -4.77379404880885 0.141214238644937 0.759673017400636
3 7 6 0.67652775417082 0.636113519314677 -3.063297828648 0.38505358901714 0.189898464927411
2 9 5 0.953545512398705 0.571814901893958 -4.45558855137076 0.578706844410531 0.237775691552988
4 5 2 0.438660203013569 0.649762441171333 -2.83392762141979 0.312024197651593 0.347880237567816
2 0 2 0.676447426667437 0.696211216039956 -4.53611447139009 0.661310469953108 0.839447186860881
1 4 6 0.593662241706625 0.22394910431467 -3.81891128746967 0.765696359407714 0.665282570563834
1 0 3 0.744040450779721 0.951201539486647 -4.4724425301216 0.494610242741726 0.873064872833566
1 0 5 0.796630274038762 0.0343185539823025 -4.43796231996069 0.514132050994658 0.287773465300319
